Rk,Tm,Year,#Matching,W,L,,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,SH,SF,IBB,HBP,GDP,SB,CS,WPA
125,TBR,2011,162,91,71,Ind. Games,6152,5436,707,1324,273,37,172,674,571,1193,.244,.322,.402,.724,37,35,31,73,101,155,62,3.7
126,TBR,2016,162,68,94,Ind. Games,6046,5481,672,1333,288,32,216,647,449,1482,.243,.307,.426,.733,18,28,20,69,88,60,37,-8.9
127,TBR,2009,162,84,78,Ind. Games,6223,5462,803,1434,297,36,199,765,642,1229,.263,.343,.439,.782,25,45,36,49,104,194,61,2.3
128,TBR,2014,162,77,85,Ind. Games,6205,5516,612,1361,263,24,117,586,527,1124,.247,.317,.367,.684,43,53,31,66,135,63,27,-8.6
129,TBR,2012,162,90,72,Ind. Games,6105,5398,697,1293,250,30,175,665,571,1323,.240,.317,.394,.711,34,42,26,58,133,134,44,-5.0
130,TBR,2010,162,96,66,Ind. Games,6270,5439,802,1343,295,37,160,769,672,1292,.247,.333,.403,.736,39,57,30,57,92,172,47,7.4
131,TBD,1998,162,63,99,Ind. Games,6157,5555,620,1450,267,43,111,579,473,1107,.261,.321,.385,.706,53,38,24,37,127,120,73,-18.9
132,TBD,2003,162,63,99,Ind. Games,6212,5654,715,1501,298,38,137,678,420,1030,.265,.320,.404,.724,32,50,46,56,108,142,42,-8.6
133,TBD,2001,162,62,100,Ind. Games,6104,5524,672,1426,311,21,121,645,456,1116,.258,.320,.388,.707,45,25,24,54,130,115,52,-8.7
134,TBD,2006,162,61,101,Ind. Games,6041,5474,689,1395,267,33,190,650,441,1106,.255,.314,.420,.733,35,43,23,47,101,134,52,-11.9
135,TBD,1999,162,69,93,Ind. Games,6272,5586,772,1531,272,29,145,728,544,1042,.274,.343,.411,.754,30,48,24,64,157,73,49,-10.6
136,TBD,2007,162,66,96,Ind. Games,6280,5593,782,1500,291,36,187,750,545,1324,.268,.336,.433,.769,34,52,31,53,119,131,48,-1.5
137,TBD,2005,162,67,95,Ind. Games,6120,5552,750,1519,289,40,157,717,412,990,.274,.329,.425,.754,34,51,25,69,133,151,49,0.8
138,STL,2002,162,97,65,Ind. Games,6246,5505,787,1475,285,26,175,758,542,927,.268,.338,.425,.763,83,49,77,67,123,86,42,7.0
139,STL,2007,162,78,84,Ind. Games,6211,5529,725,1513,279,13,141,690,506,909,.274,.337,.405,.743,68,54,47,54,154,56,33,-2.2
140,STL,1980,162,74,88,Ind. Games,6204,5608,738,1541,300,49,101,688,451,781,.275,.328,.400,.728,73,49,74,21,141,117,54,0.1
141,STL,2012,162,88,74,Ind. Games,6326,5622,765,1526,290,37,159,732,533,1192,.271,.338,.421,.759,69,49,45,53,135,91,37,4.4
142,STL,1985,162,101,61,Ind. Games,6182,5467,747,1446,245,59,87,687,586,853,.264,.335,.379,.714,70,41,61,18,91,314,96,8.7
143,STL,1990,162,70,92,Ind. Games,6127,5462,599,1398,255,41,73,554,517,844,.256,.320,.358,.678,77,50,54,21,101,221,74,-9.2
144,STL,2000,162,95,67,Ind. Games,6369,5478,887,1481,259,25,235,840,675,1253,.270,.356,.455,.812,79,53,33,84,118,87,51,7.5
145,STL,2005,162,100,62,Ind. Games,6246,5538,805,1494,287,26,170,757,534,947,.270,.339,.423,.762,77,35,60,62,127,83,36,6.6
146,STL,2010,162,86,76,Ind. Games,6241,5542,736,1456,285,18,150,689,541,1027,.263,.332,.402,.733,66,40,78,50,124,79,41,0.2
147,STL,1983,162,79,83,Ind. Games,6242,5550,679,1496,262,63,83,636,543,879,.270,.335,.384,.719,72,49,66,24,117,207,89,3.1
148,STL,2015,162,100,62,Ind. Games,6139,5484,647,1386,288,39,137,619,506,1267,.253,.321,.394,.716,39,42,47,66,128,69,38,-1.4
149,STL,1988,162,76,86,Ind. Games,6177,5518,578,1373,207,33,71,536,484,827,.249,.309,.337,.646,105,48,61,22,110,234,64,-8.0
150,STL,1993,162,87,75,Ind. Games,6279,5551,758,1508,262,34,118,724,588,882,.272,.341,.395,.736,59,54,50,27,128,153,72,5.8
151,STL,2003,162,85,77,Ind. Games,6466,5672,876,1580,342,32,196,827,580,952,.279,.350,.454,.804,87,54,68,73,136,82,32,8.8
152,STL,2008,162,86,76,Ind. Games,6370,5636,779,1585,283,26,174,744,577,985,.281,.350,.433,.783,71,44,63,42,150,73,32,5.9
153,STL,2013,162,97,65,Ind. Games,6202,5557,783,1494,322,20,125,745,481,1110,.269,.332,.401,.733,56,44,38,64,154,45,22,8.6
154,STL,1991,162,84,78,Ind. Games,6020,5362,651,1366,239,53,68,599,532,857,.255,.322,.357,.679,58,47,48,21,94,202,110,0.3
155,STL,1996,162,88,74,Ind. Games,6177,5502,759,1468,281,31,142,711,495,1089,.267,.330,.407,.736,88,48,58,44,121,149,58,0.5
156,STL,2001,162,93,69,Ind. Games,6177,5450,814,1469,274,32,199,768,529,1089,.270,.339,.441,.780,83,50,51,65,125,91,35,3.2
157,STL,2011,162,90,72,Ind. Games,6242,5532,762,1513,308,22,162,726,542,978,.273,.341,.425,.766,84,40,64,44,169,57,39,14.8
158,STL,1984,162,84,78,Ind. Games,6091,5433,652,1369,225,44,75,610,516,924,.252,.317,.351,.668,68,46,49,23,120,220,71,2.3
159,STL,2016,162,86,76,Ind. Games,6223,5548,779,1415,299,32,225,745,526,1318,.255,.325,.442,.767,37,41,28,70,117,35,26,6.6
160,STL,2004,162,105,57,Ind. Games,6297,5555,855,1544,319,24,214,817,548,1085,.278,.344,.460,.804,73,70,64,51,121,111,47,11.3
161,STL,2009,162,91,71,Ind. Games,6168,5465,730,1436,294,29,160,694,528,1041,.263,.332,.415,.747,68,43,73,61,127,75,31,3.0
162,STL,1982,162,92,70,Ind. Games,6198,5455,685,1439,239,52,67,632,569,805,.264,.334,.364,.697,87,55,66,30,110,200,91,6.0
163,STL,2014,162,90,72,Ind. Games,6086,5426,619,1371,275,21,105,585,471,1133,.253,.320,.369,.689,64,39,28,86,140,57,32,-0.8
164,STL,2017,162,83,79,Ind. Games,6219,5470,761,1402,284,28,196,728,593,1348,.256,.334,.426,.760,47,44,36,65,139,81,31,-2.2
165,STL,1987,162,95,67,Ind. Games,6299,5500,798,1449,252,49,94,746,644,933,.263,.340,.378,.718,84,51,61,18,126,248,72,7.8
